FULLNAME,POSTCODE,CUSTID,IPID,PRODUCTNAME,QUOTECOUNT,POLICYNO,QUOTEDATE,QUOTE_PRODUCT,ORIGINALPREMIUM,TOTALPREMIUMPAYABLE,CREATEDDATE,BRAND,BRANCHCODE,POLICY_STATUS_DESC,TYPEOFCOVER_DESC,INSURER_NAME,INCEPTIONDATE,RENEWALDATE
Jordan Rogers,HR5W 8PG,f477bd9c336d965fa6128c4e9a173bca,798500,AgeasDirectPC,28,GDCCA06474361,2023-05-04,AgeasDirectPC,1952.07,,2023-05-05,AgeasDirect,AUTO,Quotation,Comprehensive,Ageas,2023-05-09,2024-05-09
Jordan Rogers,HR5W 8PG,f477bd9c336d965fa6128c4e9a173bca,798500,AgeasDirectPC,28,GDCCA06474361,2023-05-04,AgeasDirectPC,1952.07,,2023-05-12,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-11,2024-05-11
Jordan Rogers,HR5W 8PG,f477bd9c336d965fa6128c4e9a173bca,798500,AgeasDirectPC,28,GDCCA06474361,2023-05-04,AgeasDirectPC,1952.07,,2023-05-05,AgeasDirect,AUTO,Quotation,Comprehensive,Ageas,2023-05-09,2024-05-09
Jordan Rogers,HR5W 8PG,f477bd9c336d965fa6128c4e9a173bca,798500,AgeasDirectPC,28,GDCCA06474361,2023-05-04,AgeasDirectPC,1952.07,,2023-05-12,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-11,2024-05-11
Jordan Rogers,HR5W 8PG,f477bd9c336d965fa6128c4e9a173bca,798500,AgeasDirectPC,28,GDCCA06474361,2023-05-04,AgeasDirectPC,1952.07,0.00,2023-05-05,AgeasDirect,AUTO,Quotation,Comprehensive,Ageas,2023-05-09,2024-05-09
Jordan Rogers,HR5W 8PG,f477bd9c336d965fa6128c4e9a173bca,798500,AgeasDirectPC,28,GDCCA06474361,2023-05-04,AgeasDirectPC,1952.07,0.00,2023-05-12,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-11,2024-05-11
Jordan Rogers,HR5W 8PG,f477bd9c336d965fa6128c4e9a173bca,798500,AgeasDirectPC,28,GDCCA06474361,2023-05-04,AgeasDirectPC,1952.07,0.00,2023-05-05,AgeasDirect,AUTO,Quotation,Comprehensive,Ageas,2023-05-09,2024-05-09
Jordan Rogers,HR5W 8PG,f477bd9c336d965fa6128c4e9a173bca,798500,AgeasDirectPC,28,GDCCA06474361,2023-05-04,AgeasDirectPC,1952.07,0.00,2023-05-12,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-11,2024-05-11
Jordan Kay,HR6 5ZB,79209ebe3512c5e2815780a0672090ae,395871,RIASPC,8,GDCCA06220012,2023-05-01,RIASPC,316.95,,2023-05-25,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2022-06-07,2024-06-07
Jordan Kay,HR6 5ZB,79209ebe3512c5e2815780a0672090ae,395871,RIASPC,8,GDCCA06220012,2023-05-03,RIASPC,316.95,,2023-05-25,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2022-06-07,2024-06-07
Ashley Holden,HR6 7ZD,67da59dc2813347741dbc846211c9ec2,339245,AgeasDirectPC,40,ACE129504-03,2023-05-01,MotorPanel,,0.00,2023-05-23,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-06-13,2024-06-13
Ellie Burgess,HR7 3AQ,267c31ae2e8e05be71fd3d8005447e6b,125364,AgeasDirectPC,14,APN562009-01,2023-05-01,MotorPanel,,0.00,2023-05-27,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-06-01,2024-06-01
Gareth Humphries,HR72 6RR,10ffaa1734b1b0be43234595afb9bd53,55444,AgeasDirectPC,13,GDCCA06990441,2023-05-05,AgeasDirectPC,321.73,0.00,2023-05-09,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-09,2024-05-09
Sandra Smith,HR75 0UH,1e3283ce75ed0ee9508eca91e0f2c068,98258,AgeasDirectPC,26,ACD891334-06,2023-05-04,MotorPanel,,1845.26,2023-05-27,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-06-20,2024-06-20
Olivia Parkes,HR7M 6RR,ba0873ef005de33287e112818ba5ab0d,608172,AgeasDirectPC,14,GDCCA06979358,2023-05-02,AgeasDirectPC,250.50,,2023-05-15,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-04-18,2024-04-18
Leigh Henry,HS1 3UF,d111d78b466db73481396efc1244cbe2,683465,AgeasDirectPC,19,GDCCA06984528,2023-05-03,AgeasDirectPC,270.45,,2023-05-27,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-09,2024-05-09
Zoe Robinson,HS18 0XZ,42ec53bc10657cd0156269aba43e41ba,218568,AgeasDirectPC,28,GDCCA05944983,2023-05-04,AgeasDirectPC,666.81,0.00,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-02,2024-05-02
Zoe Robinson,HS18 0XZ,42ec53bc10657cd0156269aba43e41ba,218568,AgeasDirectPC,28,GDCCA05944983,2023-05-04,AgeasDirectPC,666.81,,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-02,2024-05-02
Zoe Robinson,HS18 0XZ,42ec53bc10657cd0156269aba43e41ba,218568,AgeasDirectPC,28,GDCCA06987934,2023-05-05,AgeasDirectPC,329.92,,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-02,2024-05-02
Zoe Robinson,HS18 0XZ,42ec53bc10657cd0156269aba43e41ba,218568,AgeasDirectPC,28,GDCCA05944983,2023-05-03,AgeasDirectPC,439.03,0.00,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-02,2024-05-02
Zoe Robinson,HS18 0XZ,42ec53bc10657cd0156269aba43e41ba,218568,AgeasDirectPC,28,GDCCA05944983,2023-05-03,AgeasDirectPC,439.03,,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-02,2024-05-02
Zoe Robinson,HS18 0XZ,42ec53bc10657cd0156269aba43e41ba,218568,AgeasDirectPC,28,GDCCA06987934,2023-05-05,AgeasDirectPC,329.92,,2023-05-06,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-02,2024-05-02
Pauline Brown,HS1R 1NN,9b0a54dae43da64afd62b74cc4a210a8,507226,AgeasDirectPC,18,ACE781590-01,2023-05-05,MotorPanel,,2237.84,2023-05-10,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-10,2024-05-10
Jayne Jackson,HS2 9SR,ca5e24bf5934b574f2fc985ebd3ea196,661439,RIASPC,6,GDCCA05021604,2023-05-02,RIASPC,718.36,,2023-05-26,Rias,AUTO,In The Renewal Cycle,Comprehensive,Ageas RIAS,2021-07-01,2023-07-01
Grace Higgins,HS3 0ZZ,0410d55b55da353fffc670f60381c4d1,13398,AgeasDirectPC,28,GDCCA06191597,2023-05-05,AgeasDirectPC,165.49,,2023-05-23,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-23,2024-05-23
Grace Higgins,HS3 0ZZ,0410d55b55da353fffc670f60381c4d1,13398,AgeasDirectPC,28,GDCCA06191597,2023-05-05,AgeasDirectPC,165.49,,2023-05-23,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-23,2024-05-23
Caroline Lord,HS48 3ZA,e23151f6d7cf6c97118d371df529d391,738840,AgeasDirectPC,20,AP4718134-04,2023-05-02,MotorPanel,,0.00,2023-05-21,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-20,2024-05-20
Sheila Clarke,HS49 6WS,62c9038ecf31d2f0eb7d6775388d5a03,322748,AgeasDirectPC,6,GDCCA06461636,2023-05-03,AgeasDirectPC,377.49,0.00,2023-05-25,AgeasDirect,AUTO,In The Renewal Cycle,Comprehensive,Ageas,2022-06-30,2023-06-30
Sheila Clarke,HS49 6WS,62c9038ecf31d2f0eb7d6775388d5a03,322748,AgeasDirectPC,6,GDCCA06461636,2023-05-03,AgeasDirectPC,377.49,,2023-05-25,AgeasDirect,AUTO,In The Renewal Cycle,Comprehensive,Ageas,2022-06-30,2023-06-30
Eleanor Jones,HS53 5EA,443948a48d48e8404abdc26178962188,222794,AgeasDirectPC,17,GDCCA02369592,2023-05-02,AgeasDirectPC,834.64,,2023-05-27,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2019-03-06,2024-03-06
Jane Howard,HS5R 9TA,7fa380dd7d74dcd5a6193f69e071130c,417449,RIASPC,6,GDCCA02210462,2023-05-04,RIASPC,0.00,,2023-05-18,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2018-06-10,2024-06-10
Jane Howard,HS5R 9TA,7fa380dd7d74dcd5a6193f69e071130c,417449,RIASPC,6,GDCCA02210462,2023-05-03,RIASPC,0.00,,2023-05-18,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2018-06-10,2024-06-10
Kieran Gordon,HS61 5QS,4da5c499c77fe2028048147f7f3bfbd7,253698,RIASPC,6,GDCCA03015584,2023-05-02,RIASPC,285.56,,2023-05-23,Rias,AUTO,In The Renewal Cycle,Comprehensive,Ageas RIAS,2020-06-17,2023-06-17
Clare Martin,HS7 1GW,05ea1f96ae3d0d6c4517ff3765298100,19295,AgeasDirectPC,36,GDCCA06448847,2023-05-03,AgeasDirectPC,497.73,,2023-05-23,AgeasDirect,AUTO,Quotation,Comprehensive,Ageas,2023-06-01,2024-06-01
Clare Martin,HS7 1GW,05ea1f96ae3d0d6c4517ff3765298100,19295,AgeasDirectPC,36,GDCCA06448847,2023-05-03,AgeasDirectPC,497.73,,2023-05-06,AgeasDirect,AUTO,In The Renewal Cycle,Comprehensive,Ageas,2022-06-01,2023-06-01
Clare Martin,HS7 1GW,05ea1f96ae3d0d6c4517ff3765298100,19295,AgeasDirectPC,36,GDCCA06448847,2023-05-03,AgeasDirectPC,497.73,,2023-05-23,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-06-01,2024-06-01
Clare Martin,HS7 1GW,05ea1f96ae3d0d6c4517ff3765298100,19295,AgeasDirectPC,36,GDCCA06448847,2023-05-02,AgeasDirectPC,853.43,,2023-05-23,AgeasDirect,AUTO,Quotation,Comprehensive,Ageas,2023-06-01,2024-06-01
Clare Martin,HS7 1GW,05ea1f96ae3d0d6c4517ff3765298100,19295,AgeasDirectPC,36,GDCCA06448847,2023-05-02,AgeasDirectPC,853.43,,2023-05-06,AgeasDirect,AUTO,In The Renewal Cycle,Comprehensive,Ageas,2022-06-01,2023-06-01
Clare Martin,HS7 1GW,05ea1f96ae3d0d6c4517ff3765298100,19295,AgeasDirectPC,36,GDCCA06448847,2023-05-02,AgeasDirectPC,853.43,,2023-05-23,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-06-01,2024-06-01
Julian Taylor,HS7 1BL,12d298ff3f7a1b7e1b240319c52fce39,61381,RIASPC,6,GDCCA06220954,2023-05-03,RIASPC,706.40,,2023-05-23,Rias,AUTO,In The Renewal Cycle,Comprehensive,Ageas RIAS,2022-06-06,2023-06-06
Dylan Turner,HS7B 9WA,96176d1aa1f696cf70412d175a400558,490916,AgeasDirectPC,28,GDCCA06191718,2023-05-02,AgeasDirectPC,150.00,,2023-05-05,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-04,2024-05-04
Dylan Turner,HS7B 9WA,96176d1aa1f696cf70412d175a400558,490916,AgeasDirectPC,28,GDCCA06191718,2023-05-02,AgeasDirectPC,150.00,,2023-05-05,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-04,2024-05-04
Dylan Turner,HS7B 9WA,96176d1aa1f696cf70412d175a400558,490916,AgeasDirectPC,28,GDCCA06191718,2023-05-02,AgeasDirectPC,150.00,,2023-05-05,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-04,2024-05-04
Dylan Turner,HS7B 9WA,96176d1aa1f696cf70412d175a400558,490916,AgeasDirectPC,28,GDCCA06191718,2023-05-02,AgeasDirectPC,150.00,,2023-05-05,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-05-04,2024-05-04
Denise Dawson,HS87 2FZ,38c0e4893d3735d3aa38210870ebecec,185320,AgeasDirectPC,12,ACE331508-01,2023-05-02,MotorPanel,,2553.26,2023-05-13,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-13,2024-05-13
Reece Brown,HS8X 4NR,a91148008c77d62f125f005148eb02e4,552970,AgeasDirectPC,25,GDCCA06441150,2023-05-02,AgeasDirectPC,200.38,,2023-05-22,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2022-06-08,2024-06-08
Bradley Cox,HS95 7SA,5a9a6c6a5241e587c6bd3e75d57dd1f7,296247,AgeasDirectPC,46,ACE904079-01,2023-05-05,MotorPanel,,0.00,2023-05-13,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-05-09,2024-05-09
Bradley Cox,HS95 7SA,5a9a6c6a5241e587c6bd3e75d57dd1f7,296247,AgeasDirectPC,46,ACE904079-01,2023-05-05,MotorPanel,,0.00,2023-05-09,AgeasDirect,AUTO,Quotation,Comprehensive,Ageas,2023-05-09,2024-05-09
Janice O'Brien,HU0 7FJ,6b18fdff49b941ae37221d7d6dda683d,349838,AgeasDirectPC,6,GDCCA06977888,2023-05-02,AgeasDirectPC,582.51,,2023-05-13,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-04-16,2024-04-16
Lee Roberts,HU27 5ED,166af5f6ac30f1e0b3ada90c1e1a18df,72943,AgeasDirectPC,13,ACE330356-04,2023-05-02,MotorPanel,,903.30,2023-05-28,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-06-19,2024-06-19
Yvonne Reynolds,HU3 4QL,7d813dcbe0473de64755c9c175dce20d,410417,RIASPC,7,GDCCA05026057,2023-05-03,RIASPC,513.44,,2023-05-04,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-07-09,2023-07-09
Yvonne Reynolds,HU3 4QL,7d813dcbe0473de64755c9c175dce20d,410417,RIASPC,7,GDCCA05026057,2023-05-03,RIASPC,513.44,0.00,2023-05-04,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-07-09,2023-07-09
Yvonne Reynolds,HU3 4QL,7d813dcbe0473de64755c9c175dce20d,410417,RIASPC,7,GDCCA05026057,2023-05-03,RIASPC,513.44,0.00,2023-05-04,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-07-09,2023-07-09
Yvonne Reynolds,HU3 4QL,7d813dcbe0473de64755c9c175dce20d,410417,RIASPC,7,GDCCA05026057,2023-05-03,RIASPC,513.44,,2023-05-04,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-07-09,2023-07-09
Yvonne Reynolds,HU3 4QL,7d813dcbe0473de64755c9c175dce20d,410417,RIASPC,7,GDCCA05026057,2023-05-03,RIASPC,513.44,,2023-05-04,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2021-07-09,2023-07-09
William Davies,HU67 6NZ,1a4229405e97741f2668523f1672d1ab,85348,AgeasDirectPC,6,GDCCA05866712,2023-05-02,AgeasDirectPC,485.68,,2023-05-07,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2021-05-07,2024-05-07
William Davies,HU67 6NZ,1a4229405e97741f2668523f1672d1ab,85348,AgeasDirectPC,6,GDCCA05866712,2023-05-02,AgeasDirectPC,485.68,,2023-05-07,AgeasDirect,AUTO,Renewed,Comprehensive,Ageas,2021-05-07,2024-05-07
Emily Foster,HU6A 9FL,f5eb691d6f1bce66a5ea6bf1bf5119b2,803326,RIASPC,6,GDCCA06220172,2023-05-03,RIASPC,804.89,,2023-05-26,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2022-06-06,2024-06-06
Emily Foster,HU6A 9FL,f5eb691d6f1bce66a5ea6bf1bf5119b2,803326,RIASPC,6,GDCCA06220172,2023-05-03,RIASPC,0.00,,2023-05-26,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2022-06-06,2024-06-06
Emily Foster,HU6A 9FL,f5eb691d6f1bce66a5ea6bf1bf5119b2,803326,RIASPC,6,GDCCA06220172,2023-05-03,RIASPC,0.00,,2023-05-26,Rias,AUTO,Renewed,Comprehensive,Ageas RIAS,2022-06-06,2024-06-06
Matthew Brown,HU6W 8LZ,6a77bda6272618edc9b3f639aaa5aaf6,347795,AgeasDirectPC,7,APQ651037-25,2023-05-03,MotorPanel,,0.00,2023-05-12,AgeasDirect,AUTO,Confirmed,Comprehensive,Ageas,2023-02-03,2024-02-03
Keith Powell,HU7 3XT,15c651a135e77913140f5f34e976febf,70843,RIASPC,6,APQ702730-02,2023-05-02,MotorPanel,,0.00,2023-05-23,Rias,AUTO,In The Renewal Cycle,Comprehensive,Ageas RIAS,2019-06-17,2023-06-17
Keith Powell,HU7 3XT,15c651a135e77913140f5f34e976febf,70843,RIASPC,6,GDCCA02654980,2023-05-03,RIASPC,191.50,,2023-05-23,Rias,AUTO,In The Renewal Cycle,Comprehensive,Ageas RIAS,2019-06-17,2023-06-17
